"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-18 14:00","2018-05-18 19:45","DustTrak","pm1_0_atm",1,161,1,1,-4.5e-14,0
"2018-05-18 14:00","2018-05-18 19:45","DustTrak","pm10_0_atm",1,161,1,1,-1.8e-14,0
"2018-05-18 14:00","2018-05-18 19:45","DustTrak","pm2_5_atm",1,161,1,1,-2.7e-14,0
"2018-05-21 16:24","2018-05-21 19:45","DustTrak","pm1_0_atm",1,141,1,1,4.8e-14,0
"2018-05-21 16:24","2018-05-21 19:45","DustTrak","pm10_0_atm",1,168,1,1,-4.4e-14,0
"2018-05-21 16:24","2018-05-21 19:45","DustTrak","pm2_5_atm",1,168,1,1,-4.4e-14,0
"2018-05-22 11:16","2018-05-22 17:45","DustTrak","pm1_0_atm",1,368,1,1,1.7e-13,0
"2018-05-22 11:16","2018-05-22 17:45","DustTrak","pm10_0_atm",1,368,1,1,5.2e-14,0
"2018-05-22 11:16","2018-05-22 17:45","DustTrak","pm2_5_atm",1,368,1,1,3.9e-14,0
"2018-05-24 10:48","2018-05-24 16:00","DustTrak","pm1_0_atm",1,241,1,1,-5.9e-14,0
"2018-05-24 10:48","2018-05-24 16:00","DustTrak","pm10_0_atm",1,241,1,1,8.4e-14,0
"2018-05-24 10:48","2018-05-24 16:00","DustTrak","pm2_5_atm",1,241,1,1,8.4e-14,0
"2018-05-28 13:01","2018-05-28 18:00","DustTrak","pm1_0_atm",1,221,1,1,2.3e-14,0
"2018-05-28 13:01","2018-05-28 18:00","DustTrak","pm10_0_atm",1,220,1,1,-8e-14,0
"2018-05-28 13:01","2018-05-28 18:00","DustTrak","pm2_5_atm",1,220,1,1,-8e-14,0
"2018-05-30 15:15","2018-05-30 19:15","DustTrak","pm1_0_atm",1,173,1,1,-7.3e-14,0
"2018-05-30 15:15","2018-05-30 19:15","DustTrak","pm10_0_atm",1,173,1,1,-4.3e-14,0
"2018-05-30 15:15","2018-05-30 19:15","DustTrak","pm2_5_atm",1,173,1,1,-4.3e-14,0
